------     testcase/PatternMatch.c     ------
[  83]delimiter:          ;
[  84]delimiter:          }
[  85]delimiter:          }
[  87]identifier:         int16_t
[  87]identifier:         curve
[  87]operator(61):       =
[  87]identifier:         WhichCurve
[  87]operator(40):       (
[  87]operator(41):       )
[  87]delimiter:          ;
[  88]reserved word(15):  if
[  88]operator(40):       (
[  88]identifier:         curve
[  88]operator(122):       ==
[  88]identifier:         Unknown
[  88]operator(41):       )
[  88]delimiter:          {
[  89]identifier:         int16_t
[  89]identifier:         cnt
[  89]operator(61):       =
[  89]constant:           0
[  89]delimiter:          ;
[  90]identifier:         int16_t
[  90]identifier:         row
[  90]delimiter:          ;
[  91]reserved word(13):  for
[  91]operator(40):       (
[  91]identifier:         row
[  91]operator(61):       =
[  91]constant:           5
[  91]delimiter:          ;
[  91]identifier:         row
[  91]operator(60):       <
[  91]identifier:         IMG_ROW
[  91]delimiter:          ;
[  91]operator(86):       ++
[  91]identifier:         row
[  91]operator(41):       )
[  91]delimiter:          {
[  92]reserved word(15):  if
[  92]operator(40):       (
[  92]operator(40):       (
[  92]identifier:         resultSet
[  92]operator(46):       .
[  92]identifier:         rightBorder
[  92]delimiter:          [
[  92]identifier:         row
[  92]delimiter:          ]
[  92]operator(45):       -
[  92]identifier:         resultSet
[  92]operator(46):       .
[  92]identifier:         leftBorder
[  92]delimiter:          [
[  92]identifier:         row
[  92]delimiter:          ]
[  92]operator(41):       )
[  93]operator(45):       -
[  93]operator(40):       (
[  93]identifier:         resultSet
[  93]operator(46):       .
[  93]identifier:         rightBorder
[  93]delimiter:          [
[  93]identifier:         row
[  93]operator(45):       -
[  93]constant:           5
[  93]delimiter:          ]
[  93]operator(45):       -
[  93]identifier:         resultSet
[  93]operator(46):       .
[  93]identifier:         leftBorder
[  93]delimiter:          [
[  93]identifier:         row
[  93]operator(45):       -
[  93]constant:           5
[  93]delimiter:          ]
[  93]operator(41):       )
[  93]operator(62):       >
[  93]constant:           6
[  94]operator(76):       &&
[  94]identifier:         resultSet
[  94]operator(46):       .
[  94]identifier:         rightBorder
[  94]delimiter:          [
[  94]identifier:         row
[  94]delimiter:          ]
[  94]operator(45):       -
[  94]identifier:         resultSet
[  94]operator(46):       .
[  94]identifier:         leftBorder
[  94]delimiter:          [
[  94]identifier:         row
[  94]delimiter:          ]
[  94]operator(62):       >
[  94]constant:           140
[  94]operator(41):       )
[  94]delimiter:          {
[  95]operator(86):       ++
[  95]identifier:         cnt
[  95]delimiter:          ;
[  96]delimiter:          }
[  97]reserved word(15):  if
[  97]operator(40):       (
[  97]identifier:         cnt
[  97]operator(62):       >
[  97]constant:           3
[  97]operator(41):       )
[  97]delimiter:          {
[  98]reserved word( 1):  break
[  98]delimiter:          ;
[  99]delimiter:          }
[ 100]delimiter:          }
[ 101]reserved word(15):  if
[ 101]operator(40):       (
[ 101]identifier:         row
[ 101]operator(122):       ==
[ 101]identifier:         IMG_ROW
[ 101]operator(41):       )
[ 101]delimiter:          {
[ 102]reserved word(19):  return
[ 102]identifier:         MAYBE_BARRIER
[ 102]delimiter:          ;
[ 103]delimiter:          }
[ 104]reserved word(33):  bool
[ 104]identifier:         hasLeftInflx
[ 104]operator(61):       =
[ 104]constant:           false
[ 104]delimiter:          ,
[ 104]identifier:         hasRightInflx
[ 104]operator(61):       =
[ 104]constant:           false
[ 104]delimiter:          ;
[ 105]identifier:         int16_t
[ 105]identifier:         _row
[ 105]operator(61):       =
[ 105]identifier:         row
[ 105]delimiter:          ;
[ 106]reserved word(13):  for
[ 106]operator(40):       (
[ 106]delimiter:          ;
[ 106]identifier:         row
[ 106]operator(123):       >=
[ 106]identifier:         _row
[ 106]operator(45):       -
[ 106]constant:           10
[ 106]delimiter:          ;
[ 106]operator(90):       --
[ 106]identifier:         row
[ 106]operator(41):       )
[ 106]delimiter:          {
[ 107]reserved word(15):  if
[ 107]operator(40):       (
[ 107]identifier:         OpstSign
[ 107]operator(40):       (
[ 107]identifier:         resultSet
[ 107]operator(46):       .
[ 107]identifier:         leftTrend
[ 107]delimiter:          [
[ 107]identifier:         row
[ 107]delimiter:          ]
[ 107]delimiter:          ,
[ 107]identifier:         resultSet
[ 107]operator(46):       .
[ 107]identifier:         leftTrend
[ 107]delimiter:          [
[ 107]identifier:         row
[ 107]operator(45):       -
[ 107]constant:           2
[ 107]delimiter:          ]
[ 107]operator(41):       )
[ 107]operator(41):       )
[ 107]delimiter:          {
[ 108]identifier:         hasLeftInflx
[ 108]operator(61):       =
[ 108]constant:           true
[ 108]delimiter:          ;
[ 109]delimiter:          }
[ 110]reserved word(15):  if
[ 110]operator(40):       (
[ 110]identifier:         OpstSign
[ 110]operator(40):       (
[ 110]identifier:         resultSet
[ 110]operator(46):       .
[ 110]identifier:         rightTrend
[ 110]delimiter:          [
[ 110]identifier:         row
[ 110]delimiter:          ]
[ 110]delimiter:          ,
[ 110]identifier:         resultSet
[ 110]operator(46):       .
[ 110]identifier:         rightTrend
[ 110]delimiter:          [
[ 110]identifier:         row
[ 110]operator(45):       -
[ 110]constant:           2
[ 110]delimiter:          ]
[ 110]operator(41):       )
[ 110]operator(41):       )
[ 110]delimiter:          {
[ 111]identifier:         hasRightInflx
[ 111]operator(61):       =
[ 111]constant:           true
[ 111]delimiter:          ;
[ 112]delimiter:          }
[ 113]reserved word(15):  if
[ 113]operator(40):       (
[ 113]identifier:         hasLeftInflx
[ 113]operator(76):       &&
[ 113]identifier:         hasRightInflx
[ 113]operator(41):       )
[ 113]delimiter:          {
[ 114]reserved word(19):  return
[ 114]identifier:         IsRing
[ 114]operator(40):       (
[ 114]operator(41):       )
[ 114]operator(63):       ?
[ 114]identifier:         Ring
[ 114]operator(58):       :
[ 114]identifier:         IsCrossRoad
[ 114]operator(40):       (
[ 114]operator(41):       )
[ 114]operator(63):       ?
[ 114]identifier:         CrossRoad
[ 114]operator(58):       :
[ 114]identifier:         MAYBE_BARRIER
[ 114]delimiter:          ;
[ 115]delimiter:          }
[ 116]delimiter:          }
[ 117]reserved word(19):  return
[ 117]identifier:         MAYBE_BARRIER
[ 117]delimiter:          ;
[ 118]delimiter:          }
[ 118]reserved word( 9):  else
[ 118]delimiter:          {
[ 119]reserved word(19):  return
[ 119]identifier:         curve
[ 119]delimiter:          ;
[ 120]delimiter:          }
[ 121]delimiter:          }
[ 123]reserved word(33):  bool
[ 123]identifier:         IsRing
[ 123]operator(40):       (
[ 123]operator(41):       )
[ 123]delimiter:          {
[ 124]identifier:         int16_t
[ 124]identifier:         blackBlockRowsCnt
[ 124]operator(61):       =
[ 124]constant:           0
[ 124]delimiter:          ;
[ 125]identifier:         int16_t
[ 125]identifier:         col
[ 125]delimiter:          ;
[ 126]identifier:         int16_t
[ 126]identifier:         whiteCol
[ 126]delimiter:          ;
[ 127]identifier:         int16_t
[ 127]identifier:         width
[ 127]delimiter:          ;
[ 128]reserved word(13):  for
[ 128]operator(40):       (
[ 128]identifier:         int16_t
[ 128]identifier:         row
[ 128]operator(61):       =
[ 128]identifier:         IMG_ROW
[ 128]operator(45):       -
[ 128]constant:           1
[ 128]delimiter:          ;
[ 128]identifier:         row
[ 128]operator(123):       >=
[ 128]constant:           30
[ 128]delimiter:          ;
[ 128]operator(90):       --
[ 128]identifier:         row
[ 128]operator(41):       )
[ 129]delimiter:          {
[ 130]reserved word(15):  if
[ 130]operator(40):       (
[ 130]identifier:         IsWhite
[ 130]operator(40):       (
[ 130]identifier:         row
[ 130]delimiter:          ,
[ 130]identifier:         IMG_COL
[ 130]operator(47):       /
[ 130]constant:           2
[ 130]operator(41):       )
[ 130]operator(41):       )
[ 131]delimiter:          {
[ 132]reserved word( 5):  continue
[ 132]delimiter:          ;
[ 133]delimiter:          }
[ 134]reserved word(13):  for
[ 134]operator(40):       (
[ 134]identifier:         col
[ 134]operator(61):       =
[ 134]identifier:         IMG_COL
[ 134]operator(47):       /
[ 134]constant:           2
[ 134]operator(45):       -
[ 134]constant:           1
[ 134]delimiter:          ;
[ 134]identifier:         IsBlack
[ 134]operator(40):       (
[ 134]identifier:         row
[ 134]delimiter:          ,
[ 134]identifier:         col
[ 134]operator(41):       )
[ 134]operator(76):       &&
[ 134]identifier:         col
[ 134]operator(123):       >=
[ 134]constant:           0
[ 134]delimiter:          ;
[ 134]operator(90):       --
[ 134]identifier:         col
[ 134]operator(41):       )
[ 134]delimiter:          {
[ 134]delimiter:          }
[ 135]reserved word(15):  if
[ 135]operator(40):       (
[ 135]identifier:         col
[ 135]operator(122):       ==
[ 135]operator(45):       -
[ 135]constant:           1
[ 135]operator(248):       ||
[ 135]identifier:         col
[ 135]operator(123):       >=
[ 135]identifier:         IMG_COL
[ 135]operator(47):       /
[ 135]constant:           2
[ 135]operator(45):       -
[ 135]constant:           5
[ 135]operator(41):       )
[ 136]delimiter:          {
[ 137]reserved word( 5):  continue
[ 137]delimiter:          ;
[ 138]delimiter:          }
[ 139]reserved word(13):  for
[ 139]operator(40):       (
[ 139]identifier:         whiteCol
[ 139]operator(61):       =
[ 139]identifier:         col
[ 139]delimiter:          ;
[ 139]identifier:         IsWhite
[ 139]operator(40):       (
[ 139]identifier:         row
[ 139]delimiter:          ,
[ 139]identifier:         whiteCol
[ 139]operator(41):       )
[ 139]operator(76):       &&
[ 139]identifier:         whiteCol
[ 139]operator(123):       >=
[ 139]constant:           0
[ 139]delimiter:          ;
[ 139]operator(90):       --
[ 139]identifier:         whiteCol
[ 139]operator(41):       )
[ 139]delimiter:          {
[ 139]delimiter:          }
[ 140]identifier:         width
[ 140]operator(61):       =
[ 140]identifier:         col
[ 140]operator(45):       -
[ 140]identifier:         whiteCol
[ 140]delimiter:          ;
[ 141]reserved word(13):  for
[ 141]operator(40):       (
[ 141]identifier:         col
[ 141]operator(61):       =
[ 141]identifier:         IMG_COL
[ 141]operator(47):       /
[ 141]constant:           2
[ 141]operator(43):       +
[ 141]constant:           1
[ 141]delimiter:          ;
[ 141]identifier:         IsBlack
[ 141]operator(40):       (
[ 141]identifier:         row
[ 141]delimiter:          ,
[ 141]identifier:         col
[ 141]operator(41):       )
[ 141]operator(76):       &&
[ 141]identifier:         col
[ 141]operator(60):       <
[ 141]identifier:         IMG_COL
[ 141]delimiter:          ;
[ 141]operator(86):       ++
[ 141]identifier:         col
[ 141]operator(41):       )
[ 141]delimiter:          {
[ 141]delimiter:          }
[ 142]reserved word(15):  if
[ 142]operator(40):       (
[ 142]identifier:         InRange
[ 142]operator(40):       (
[ 142]identifier:         col
[ 142]delimiter:          ,
[ 142]identifier:         IMG_COL
[ 142]operator(47):       /
[ 142]constant:           2
[ 142]operator(43):       +
[ 142]constant:           4
[ 142]delimiter:          ,
[ 142]identifier:         IMG_COL
[ 142]operator(41):       )
[ 142]operator(41):       )
[ 143]delimiter:          {
[ 144]reserved word(13):  for
[ 144]operator(40):       (
[ 144]identifier:         whiteCol
[ 144]operator(61):       =
[ 144]identifier:         col
[ 144]delimiter:          ;
[ 144]identifier:         IsWhite
[ 144]operator(40):       (
[ 144]identifier:         row
[ 144]delimiter:          ,
[ 144]identifier:         whiteCol
[ 144]operator(41):       )
[ 144]operator(76):       &&
[ 144]identifier:         whiteCol
[ 144]operator(60):       <
[ 144]identifier:         IMG_COL
[ 144]delimiter:          ;
[ 144]operator(86):       ++
[ 144]identifier:         whiteCol
[ 144]operator(41):       )
[ 144]delimiter:          {
[ 144]delimiter:          }
[ 145]reserved word(15):  if
[ 145]operator(40):       (
[ 145]identifier:         Abs
[ 145]operator(40):       (
[ 145]operator(40):       (
[ 145]identifier:         whiteCol
[ 145]operator(45):       -
[ 145]identifier:         col
[ 145]operator(41):       )
[ 145]operator(45):       -
[ 145]identifier:         width
[ 145]operator(41):       )
[ 145]operator(60):       <
[ 145]constant:           30
[ 145]operator(41):       )
[ 145]delimiter:          {
[ 146]operator(86):       ++
[ 146]identifier:         blackBlockRowsCnt
[ 146]delimiter:          ;
[ 147]delimiter:          }
[ 148]delimiter:          }
[ 149]delimiter:          }
[ 150]reserved word(15):  if
[ 150]operator(40):       (
[ 150]identifier:         blackBlockRowsCnt
[ 150]operator(62):       >
[ 150]constant:           6
[ 150]operator(41):       )
[ 150]delimiter:          {
[ 151]reserved word(19):  return
[ 151]identifier:         inRing
[ 151]operator(61):       =
[ 151]constant:           true
[ 151]delimiter:          ;
[ 152]delimiter:          }
[ 153]reserved word(19):  return
[ 153]constant:           false
[ 153]delimiter:          ;
[ 154]delimiter:          }
[ 156]reserved word(33):  bool
[ 156]identifier:         IsRingEnd
[ 156]operator(40):       (
[ 156]operator(41):       )
[ 156]delimiter:          {
[ 157]reserved word(15):  if
[ 157]operator(40):       (
[ 157]identifier:         resultSet
[ 157]operator(46):       .
[ 157]identifier:         rightBorderNotFoundCnt
[ 157]operator(60):       <
[ 157]constant:           15
[ 157]operator(41):       )
[ 157]delimiter:          {
[ 158]reserved word(19):  return
[ 158]constant:           false
[ 158]delimiter:          ;
[ 159]delimiter:          }
[ 160]delimiter:          {
[ 161]identifier:         int16_t
[ 161]identifier:         row
[ 161]delimiter:          ;
[ 162]identifier:         int16_t
[ 162]identifier:         cnt
[ 162]operator(61):       =
[ 162]constant:           0
[ 162]delimiter:          ;
[ 163]reserved word(13):  for
[ 163]operator(40):       (
[ 163]identifier:         row
[ 163]operator(61):       =
[ 163]constant:           0
[ 163]delimiter:          ;
[ 163]identifier:         row
[ 163]operator(60):       <
[ 163]identifier:         IMG_ROW
[ 163]operator(76):       &&
[ 163]identifier:         resultSet
[ 163]operator(46):       .
[ 163]identifier:         foundRightBorder
[ 163]delimiter:          [
[ 163]identifier:         row
[ 163]delimiter:          ]
[ 163]delimiter:          ;
[ 163]operator(86):       ++
[ 163]identifier:         row
[ 163]operator(41):       )
[ 163]delimiter:          {
[ 163]delimiter:          }
[ 164]reserved word(13):  for
[ 164]operator(40):       (
[ 164]delimiter:          ;
[ 164]identifier:         row
[ 164]operator(60):       <
[ 164]identifier:         IMG_ROW
[ 164]operator(76):       &&
[ 164]operator(33):       !
[ 164]identifier:         resultSet
[ 164]operator(46):       .
[ 164]identifier:         foundRightBorder
[ 164]delimiter:          [
[ 164]identifier:         row
[ 164]delimiter:          ]
[ 164]delimiter:          ;
[ 164]operator(86):       ++
[ 164]identifier:         row
[ 164]operator(41):       )
[ 164]delimiter:          {
[ 164]operator(86):       ++
[ 164]identifier:         cnt
[ 164]delimiter:          ;
[ 164]delimiter:          }
[ 165]identifier:         last_not_found_border_row
[ 165]operator(61):       =
[ 165]identifier:         row
[ 165]delimiter:          ;
[ 166]reserved word(15):  if
[ 166]operator(40):       (
[ 166]identifier:         cnt
[ 166]operator(60):       <
[ 166]constant:           9
[ 166]operator(41):       )
[ 166]delimiter:          {
[ 167]reserved word(19):  return
[ 167]constant:           false
[ 167]delimiter:          ;
[ 168]delimiter:          }
[ 169]delimiter:          }
[ 170]identifier:         int16_t
[ 170]identifier:         cnt
[ 170]operator(61):       =
[ 170]constant:           0
[ 170]delimiter:          ;
[ 171]identifier:         int16_t
[ 171]identifier:         row
[ 171]delimiter:          ;
[ 172]reserved word(13):  for
[ 172]operator(40):       (
[ 172]identifier:         row
[ 172]operator(61):       =
[ 172]constant:           20
[ 172]delimiter:          ;
[ 172]identifier:         row
[ 172]operator(60):       <
[ 172]constant:           40
[ 172]delimiter:          ;
[ 172]operator(86):       ++
[ 172]identifier:         row
[ 172]operator(41):       )
[ 172]delimiter:          {
[ 173]reserved word(15):  if
[ 173]operator(40):       (
[ 173]identifier:         OpstSign
[ 173]operator(40):       (
[ 173]identifier:         resultSet
[ 173]operator(46):       .
[ 173]identifier:         leftTrend
[ 173]delimiter:          [
[ 173]identifier:         row
[ 173]delimiter:          ]
[ 173]delimiter:          ,
[ 173]identifier:         resultSet
[ 173]operator(46):       .
[ 173]identifier:         leftTrend
[ 173]delimiter:          [
[ 173]identifier:         row
[ 173]operator(45):       -
[ 173]constant:           5
[ 173]delimiter:          ]
[ 173]operator(41):       )
[ 173]operator(41):       )
[ 173]delimiter:          {
[ 174]reserved word( 1):  break
[ 174]delimiter:          ;
[ 175]delimiter:          }
[ 176]delimiter:          }
[ 177]reserved word(15):  if
[ 177]operator(40):       (
[ 177]identifier:         row
[ 177]operator(123):       >=
[ 177]constant:           40
[ 177]operator(41):       )
[ 177]delimiter:          {
[ 178]reserved word(19):  return
[ 178]constant:           false
[ 178]delimiter:          ;
[ 179]delimiter:          }
[ 180]reserved word(13):  for
[ 180]operator(40):       (
[ 180]identifier:         row
[ 180]operator(61):       =
[ 180]identifier:         IMG_ROW
[ 180]operator(45):       -
[ 180]constant:           1
[ 180]delimiter:          ;
[ 180]identifier:         row
[ 180]operator(123):       >=
[ 180]constant:           35
[ 180]delimiter:          ;
[ 180]operator(90):       --
[ 180]identifier:         row
[ 180]operator(41):       )
[ 180]delimiter:          {
[ 181]reserved word(15):  if
[ 181]operator(40):       (
[ 181]identifier:         IsWhite
[ 181]operator(40):       (
[ 181]identifier:         row
[ 181]delimiter:          ,
[ 181]identifier:         resultSet
[ 181]operator(46):       .
[ 181]identifier:         middleLine
[ 181]delimiter:          [
[ 181]identifier:         row
[ 181]delimiter:          ]
[ 181]operator(41):       )
[ 181]operator(41):       )
[ 181]delimiter:          {
[ 182]operator(86):       ++
[ 182]identifier:         cnt
[ 182]delimiter:          ;
[ 183]reserved word(15):  if
[ 183]operator(40):       (
[ 183]identifier:         cnt
[ 183]operator(62):       >
[ 183]constant:           12
[ 183]operator(41):       )
[ 183]delimiter:          {
[ 184]reserved word(19):  return
[ 184]constant:           true
[ 184]delimiter:          ;
[ 185]delimiter:          }
[ 186]delimiter:          }
[ 187]delimiter:          }
[ 188]reserved word(19):  return
[ 188]constant:           false
[ 188]delimiter:          ;
[ 189]delimiter:          }
[ 191]identifier:         int16_t
[ 191]identifier:         WhichCurve
[ 191]operator(40):       (
[ 191]operator(41):       )
[ 191]delimiter:          {
[ 192]identifier:         int16_t
[ 192]identifier:         row
[ 192]delimiter:          ;
[ 193]reserved word(33):  bool
[ 193]identifier:         leftCurve
[ 193]operator(61):       =
[ 193]constant:           false
[ 193]delimiter:          ;
[ 194]reserved word(33):  bool
[ 194]identifier:         rightCurve
[ 194]operator(61):       =
[ 194]constant:           false
[ 194]delimiter:          ;
[ 195]identifier:         int16_t
[ 195]identifier:         cnt
[ 195]operator(61):       =
[ 195]constant:           0
[ 195]delimiter:          ;
[ 196]reserved word(13):  for
